"Source","Target","N","nb_cit_Target","nb_cit_Source","Weight"
16927553,5206559,4,68,4,0.242535625036333
16964454,4312792,5,7,21,0.412393049421161
16964454,7948004,7,23,21,0.318511028635303
16982579,3829231,9,55,117,0.112193638801015
16982579,3840603,9,39,117,0.133234677505298
16982579,4065101,4,7,117,0.139771311562922
16982579,5206559,14,68,117,0.156956985265806
16982579,5317410,8,15,117,0.190963966410515
16982579,7592799,9,48,117,0.120096115353815
16982579,7759170,5,13,117,0.128205128205128
16982579,8257075,4,51,117,0.0517823758253745
16982579,9784286,4,7,117,0.139771311562922
16982579,9784288,7,41,117,0.101067885758982
16982579,9808723,12,16,117,0.277350098112615
16982579,10083175,4,4,117,0.18490006540841
16982579,10093617,5,6,117,0.188712839024099
16982579,10094135,6,33,117,0.0965609099170535
16982579,11255368,5,12,117,0.133440128170906
16982579,12838770,6,39,117,0.0888231183368655
16982579,12949704,4,23,117,0.0771086575954987
16982579,13266950,4,6,117,0.150970271219279
16982579,16056864,4,4,117,0.18490006540841
16982579,16238356,4,10,117,0.116941069240937
17006402,12073369,4,6,13,0.452910813657838
17006402,16982579,6,117,13,0.153846153846154
17093916,4543040,8,18,12,0.544331053951817
17093916,4850876,8,17,12,0.560112033611204
17093916,10682331,5,11,12,0.435194139889245
17093916,11436738,5,11,12,0.435194139889245
17093916,15593237,4,4,12,0.577350269189626
17347184,5206559,6,68,13,0.201801838198894
17538905,7592799,6,48,14,0.231455024943138
17538905,7720676,5,12,14,0.38575837490523
17538905,7727454,4,9,14,0.356348322549899
17538905,15352517,5,9,14,0.445435403187374
17681590,6351292,4,17,15,0.25048971643406
17681590,12838770,7,39,15,0.289414380708153
17781321,3578552,4,5,4,0.894427190999916
17781321,15259406,4,7,4,0.755928946018454
17783272,5210301,6,9,7,0.755928946018454
17791782,15120806,4,6,14,0.436435780471985
17791782,15259406,5,7,14,0.505076272276105
17841708,5210301,4,9,7,0.50395263067897
17975832,5206559,15,68,23,0.37929130306813
17975832,9784288,6,41,23,0.195386882707751
17975832,14019388,4,30,23,0.152277397525376
17975832,16238356,4,10,23,0.263752189358315
17975832,16862907,4,22,23,0.177821689789755
17975832,16982579,7,117,23,0.134940150792123
17982369,4850876,5,17,5,0.54232614454664
17982369,11436738,4,11,5,0.539359889970594
18120208,10526626,5,20,5,0.5
18140032,17990557,4,12,9,0.384900179459751
18201381,16982579,4,117,16,0.0924500327042048
18242380,4065101,4,7,8,0.534522483824849
18242380,7592799,4,48,8,0.204124145231932
18242380,11255368,5,12,8,0.510310363079829
18242380,16982579,4,117,8,0.130744090092123
18409404,8257075,4,51,12,0.161690416690889
18409404,16982579,5,117,12,0.133440128170906
18423574,3840603,5,39,14,0.213980246255456
18423574,9784288,4,41,14,0.166956774225936
18423574,16237272,5,12,14,0.38575837490523
18423574,16238356,4,10,14,0.338061701891407
18423574,16982579,4,117,14,0.0988332422214802
18825528,3840603,4,39,14,0.171184197004365
18825528,16982579,5,117,14,0.12354155277685
19176993,5206559,6,68,7,0.275009549108463
19176993,9784288,4,41,7,0.236112534440382
19176993,16982579,4,117,7,0.139771311562922
19685603,8257075,4,51,7,0.211702449609985
19696249,4409272,4,7,14,0.404061017820884
19696249,6351292,4,17,14,0.259281489420866
19696249,7308420,6,8,14,0.566946709513841
19696249,10527918,5,9,14,0.445435403187374
19696249,14603547,4,27,14,0.205737799949456
19882291,4543040,7,18,13,0.457604315322429
19882291,4850876,4,17,13,0.269069117598525
19882291,17093916,4,12,13,0.320256307610174
20025407,3342650,4,5,17,0.433860915637312
20025407,4409272,4,7,17,0.366679398811285
20025407,6351292,4,17,17,0.235294117647059
20025407,7308420,4,8,17,0.342997170285018
20025407,19696249,4,14,17,0.259281489420866
20025407,20025211,7,10,17,0.536875492193159
20668512,16982579,4,117,13,0.102564102564103
20790036,11274817,5,21,14,0.291605921759902
21272024,4543040,6,18,7,0.534522483824849
21293232,11431556,4,15,11,0.311399577664609
21398077,11215642,4,4,5,0.894427190999916
21422242,5317410,5,15,11,0.389249472080761
21422242,16982579,7,117,11,0.195123135668321
22072376,3829231,4,55,22,0.114991914915214
22072376,8124334,4,4,22,0.426401432711221
22072376,8257075,4,51,22,0.119416286805306
22072376,16982579,4,117,22,0.0788416527985444
